fund,date,daily_return
Combined Equal-Weight,2022-07-13,0.004273844927175245
Combined Equal-Weight,2022-07-14,0.00039546183623717976
Combined Equal-Weight,2022-07-15,0.01772329816929271
Combined Equal-Weight,2022-07-18,0.0153131147321425
Combined Equal-Weight,2022-07-19,0.02586875775096274
Combined Equal-Weight,2022-07-20,-0.003828157409285749
Combined Equal-Weight,2022-07-21,0.00855275720091389
Combined Equal-Weight,2022-07-22,-0.005418183269914842
Combined Equal-Weight,2022-07-25,-0.009139212362314906
Combined Equal-Weight,2022-07-26,-0.003336425903804736
Combined Equal-Weight,2022-07-27,0.02792847365268602
Combined Equal-Weight,2022-07-28,0.021607122134156626
Combined Equal-Weight,2022-07-29,0.007116952121869635
Combined Equal-Weight,2022-08-01,-0.0034638165145915484
Combined Equal-Weight,2022-08-02,-0.01125840552766689
Combined Equal-Weight,2022-08-03,0.0043077639733036166
Combined Equal-Weight,2022-08-04,-0.0011084059539739493
Combined Equal-Weight,2022-08-05,0.008947954951706028
Combined Equal-Weight,2022-08-08,0.0037225810330289637
Combined Equal-Weight,2022-08-09,-0.007945398147576593
Combined Equal-Weight,2022-08-10,0.022285586386157935
Combined Equal-Weight,2022-08-11,0.00711277305876338
Combined Equal-Weight,2022-08-12,0.014744085826509505
Combined Equal-Weight,2022-08-15,0.0008230034027234425
Combined Equal-Weight,2022-08-16,0.002814440189481566
Combined Equal-Weight,2022-08-17,-0.007798589889117788
Combined Equal-Weight,2022-08-18,0.00043693173708676884
Combined Equal-Weight,2022-08-19,-0.025355329437994716
Combined Equal-Weight,2022-08-22,-0.01253747539978588
Combined Equal-Weight,2022-08-23,0.004000658103116927
Combined Equal-Weight,2022-08-24,0.0006884568862047304
Combined Equal-Weight,2022-08-25,0.013369768680934337
Combined Equal-Weight,2022-08-26,-0.036080888455400716
Combined Equal-Weight,2022-08-29,0.005030206035969886
Combined Equal-Weight,2022-08-30,-0.015619484591487917
Combined Equal-Weight,2022-08-31,-0.005587489685243131
Combined Equal-Weight,2022-09-01,0.0034886436672656863
Combined Equal-Weight,2022-09-02,-0.007112650662027257
Combined Equal-Weight,2022-09-06,-0.01516233427813982
Combined Equal-Weight,2022-09-07,0.022888356862568352
Combined Equal-Weight,2022-09-08,0.006030335202376024
Combined Equal-Weight,2022-09-09,0.02197192647032312
Combined Equal-Weight,2022-09-12,0.005828411314179709
Combined Equal-Weight,2022-09-13,-0.0452262252013494
Combined Equal-Weight,2022-09-14,0.006167148570890119
Combined Equal-Weight,2022-09-15,-0.021520483858726538
Combined Equal-Weight,2022-09-16,-0.003864168641195474
Combined Equal-Weight,2022-09-19,0.008872265784185429
Combined Equal-Weight,2022-09-20,-0.012956882717406143
Combined Equal-Weight,2022-09-21,-0.020650512877607576
Combined Equal-Weight,2022-09-22,0.00349808634492015
Combined Equal-Weight,2022-09-23,-0.016667819937102528
Combined Equal-Weight,2022-09-26,-0.01293929840562053
Combined Equal-Weight,2022-09-27,-0.005605479284624965
Combined Equal-Weight,2022-09-28,0.017534552039938048
Combined Equal-Weight,2022-09-29,-0.012207247581198724
Combined Equal-Weight,2022-09-30,-0.013137197439580913
Combined Equal-Weight,2022-10-03,0.030449618306372543
Combined Equal-Weight,2022-10-04,0.028809583357177367
Combined Equal-Weight,2022-10-05,-0.0034065901150966233
Combined Equal-Weight,2022-10-06,-0.010554134887437127
Combined Equal-Weight,2022-10-07,-0.02028021844549765
Combined Equal-Weight,2022-10-10,-0.012045546445742964
Combined Equal-Weight,2022-10-11,-0.005794294732439905
Combined Equal-Weight,2022-10-12,-0.004392407956616383
Combined Equal-Weight,2022-10-13,0.021919988104568862
Combined Equal-Weight,2022-10-14,-0.014943014408953998
Combined Equal-Weight,2022-10-17,0.018691664879151734
Combined Equal-Weight,2022-10-18,0.007318470900009656
Combined Equal-Weight,2022-10-19,-0.010522088707603131
Combined Equal-Weight,2022-10-20,-0.0039039696602135377
Combined Equal-Weight,2022-10-21,0.02200682486592608
Combined Equal-Weight,2022-10-24,0.003431330492379288
Combined Equal-Weight,2022-10-25,0.022866863952870096
Combined Equal-Weight,2022-10-26,0.008034988239200652
Combined Equal-Weight,2022-10-27,-0.003632952115667947
Combined Equal-Weight,2022-10-28,0.023573826986520476
Combined Equal-Weight,2022-10-31,-0.006095718685837176
Combined Equal-Weight,2022-11-01,0.001166547427961367
Combined Equal-Weight,2022-11-02,-0.016734417076221923
Combined Equal-Weight,2022-11-03,0.0006162937564336262
Combined Equal-Weight,2022-11-04,0.0269031608428341
Combined Equal-Weight,2022-11-07,0.006391610036462398
Combined Equal-Weight,2022-11-08,-0.013701324476817447
Combined Equal-Weight,2022-11-09,-0.042062367229832656
Combined Equal-Weight,2022-11-10,0.0675006791956451
Combined Equal-Weight,2022-11-11,0.006815255597190181
Combined Equal-Weight,2022-11-14,-0.003402631049289913
Combined Equal-Weight,2022-11-15,0.010602315236801465
Combined Equal-Weight,2022-11-16,-0.011701976878377256
Combined Equal-Weight,2022-11-17,-0.0010528206157177614
Combined Equal-Weight,2022-11-18,0.004579782972334325
Combined Equal-Weight,2022-11-21,-0.001608971703776883
Combined Equal-Weight,2022-11-22,0.018700329196249955
Combined Equal-Weight,2022-11-23,0.010489829245412908
Combined Equal-Weight,2022-11-25,-0.0004737967332436474
Combined Equal-Weight,2022-11-28,-0.018339494590531833
Combined Equal-Weight,2022-11-29,0.006229594226936348
Combined Equal-Weight,2022-11-30,0.025515568887532696
Combined Equal-Weight,2022-12-01,-0.003572930901665892
Combined Equal-Weight,2022-12-02,0.002700736387861955
